Feedback	Liked
OMG... this event is DOPE.	1
I Loved the  first day.	0
Get rid of the  guy.	0
I wasted my time.	1
Too much the ory, less coding	1
STOP using the  microphone, we can hear you.	0
the  projector is not good	0
I really liked the  CHECKERS problem	1
We want more coding	0
A code touch.	1
Logistic is good	1
Too much talk, less coding	0
the  guy doesn’t wait for us to finish the  coding	0
I have written some regression and I’m so happy…yeeeeeee	1
I didn't understand the  graphs, what should we do with the m	0
I was disturbed because of all the  REDBULL I had	0
Highly recommended.	1
did not like at all.	0
we want more water	0
the  food, amazing.	1
Girl is also cute.	1
So the y performed.	1
I could care less... I'm having fun	1
- I don’t like the  salads the y have	0
Took an hour to get only 1 example	0
the  worst was the  sound.	0
We worked in teams, me like	1
We need more light in the  rooms, you can do better	0
I applied by accident and I could not be happier.	1
Overall, I like this event a lot.	1
we like it	1
good examples	1
you should stick to the  schedule	0
This is my first time in Bucharest and I love it	1
It sucks.	0
the  food was good	1
Hard to judge whethe r this event is properly organised	0
On a positive note, the  internet is working well	0
I don’t like the  bathrooms	0
I like the  fact that we have time to think	1
We don’t have enough time.	0
Coding was good	1
If you want to have fun join EESTEC	1
I like my team, I think I will come back to the se kind of events	1
This is my second workshop from eestec, i love it	1
the  good part was the  presentation	1
the  food, cute.	1
Girl is also amazing.	1
Regularly gives constructive feedback.	1
Is willing to entertain othe rs ideas	1
Asks great questions	1
Explains tough issues in a way that is clear to the  rest of the  team	1
Is not afraid to say “I don’t know” when presented with a tough question.	1
Is effective at summarizing and communicating key business decisions.	0
Stands out among his/her peers for outstanding communication skills	0
Is effective at persuading and convincing peers, especially when the  stakes are high	0
Is an effective listener, always willing to listen and understand peers objections	0
Makes new employees feel welcome	1
Acts as a calming force when the  team is under pressure	1
the  food, cute.	1
Girl is also amazing.	1
the  staff promotes cooperation well to ensure staff work as a team to meet deadlines.	1
the  staff encourages people to work togethe r to achieve a common goal.	1
the  staff puts getting the job done ahead of his own interests.	1
the  staff works well with coworkers, staff, managers, and members of othe r teams.	1
the  staff understands clearly that to complete the projects is a team effort. the  staff is always willing to help othe rs when needed.	1
the  staff connects his staff members togethe r well to create a team first environment.	1
the  staff promotes a team-centered environment.	1
the  staff is a proven team player.	1
the  staff is an asset who can effectively work with othe r teams and departments.	1
the  staff does what it takes to get the job done. the  staff also takes on additional tasks.	1
the  staff ensures coworkers coordinate to meet deadlines and work effectively as a team.	1
the  staff encourages people to work togethe r towards a common goal.	1
the  staff gives of himself to make sure the job is well done.	1
the  staff offers assistance willingly.	1
the  staff makes a positive contribution to morale.	1
the  staff accepts constructive criticism positively.	1
the  staff shows sensitivity and consideration to othe r people’s feelings.	1
the  staff creates a positive and inclusive work environment.	1
the  staff is a strong team player; who is humble and says that projects are the achievement of the whole team.	1
the  staff builds solidarity between his team members to enhance team spirit.	1
the  staff one of is the top staff members who cooperates well with othe r teams and divisions.	1
the  staff always tries his best to finish his tasks, even the se duties do not belong to him.	1
the  staff unites individuals togethe r in order to meet deadlines and efficiently perform the ir duties.	1
the  staff can be counted on to carry out assignments with careful follow-through and follow-up.	1
the  staff helps form alliances between his staff members and foster a team-first environment.	1
the  staff excels at any project the  staff is involved due to his ability to form effective teams.	1
the  staff can bring disparate groups togethe r even in the most difficult situations.	1
the  staff will do whatever is necessary to get the job done, even taking on extra tasks that are not his own.	1
the  staff is not a willing team player and prefers to work individually.	1
the  staff is unwilling to assist coworkers, even when asked.	1
the  staff is professional in his work but is unwilling to give advice to othe rs.	1
the  staff was unwilling to give help when requested to.	0
the  staff does not have the necessary skills to complete the work and is unwilling to find someone who does.	0
the  staff has not joined the group even after being required to.	0
the  staff doesn’t communicate with othe r employees nor help when asked.	0
the  staff was unwilling to listen to or take on board the wealth of advice given to him.	0
Despite being a team member, the  staff doesn’t complete his allocated tasks.	0
Despite numerous invitations to join the team, the  staff prefers to work alone.	0
the  staff does not permit his staff to assist othe r departments.	0
